geography,factor,age_group,gender,direct,cost_per_case_uk,forex_rate,cost_per_case_local,healthcare_expenditure_factor,cost_per_case_adjusted
Spain,depression,adult,all,False,13347.27888,1.200369954109192,16021.672536668186,0.5607523443014522,8984.190434566879
Spain,anxiety,adult,all,False,3223.17072,1.200369954109192,3868.997289252491,0.5607523443014522,2169.549300044298
Spain,obesity,adult,all,True,622.3078197,1.200369954109192,746.9996089750803,0.5607523443014522,418.8817819250443
Spain,obesity,adult,all,False,2789.36264,1.200369954109192,3348.267104170694,0.5607523443014522,1877.548628011151
America,coronary heart disease,adult,all,True,2252.10299,1.3065917491912842,2942.579185063021,2.590029905002538,7621.368087151223
America,stroke,adult,all,True,2401.050289,1.3065917491912842,3137.192497000748,2.590029905002538,8125.422384981523
America,diabetes (type 2),adult,all,True,2068.273017,1.3065917491912842,2702.3884590871644,2.590029905002538,6999.266923969484
America,breast cancer,adult,all,True,978.2347643,1.3065917491912842,1278.1534718064606,2.590029905002538,3310.455715161552
America,endometrial uterine cancer,adult,all,True,5880.820946,1.3065917491912842,7683.8321265148825,2.590029905002538,19901.35499269279
America,colon cancer,adult,all,True,4035.722421,1.3065917491912842,5273.041617304874,2.590029905002538,13657.335479142574
America,osteoporosis,adult,all,True,8261.739544,1.3065917491912842,10794.720722157763,2.590029905002538,27958.6494865392
America,alzheimer and other dementia,adult,all,True,6323.486659,1.3065917491912842,8262.21549477056,2.590029905002538,21399.38521303109
America,depression,adult,all,True,3851.242246,1.3065917491912842,5032.00134276051,2.590029905002538,13033.033959762648
America,anxiety,adult,all,True,1481.424011,1.3065917491912842,1935.6163898264583,2.590029905002538,5013.304334263577
America,coronary heart disease,adult,all,False,2736.767361,1.3065917491912842,3575.837653338605,2.590029905002538,9261.526457581085
America,stroke,adult,all,False,52088.28766,1.3065917491912842,68058.12688605819,2.590029905002538,176272.58391334797
America,diabetes (type 2),adult,all,False,4739.699408,1.3065917491912842,6192.852140139615,2.590029905002538,16039.67224022057
America,breast cancer,adult,all,False,2831.286259,1.3065917491912842,3699.3352656080574,2.590029905002538,9581.388966555376
America,endometrial uterine cancer,adult,all,False,15131.93694,1.3065917491912842,19771.263955086808,2.590029905002538,51208.164903373596
America,colon cancer,adult,all,False,11265.68345,1.3065917491912842,14719.649044770802,2.590029905002538,38124.33121709842
America,osteoporosis,adult,all,False,8060.514695,1.3065917491912842,10531.8019947221,2.590029905002538,27277.682119895624
America,alzheimer and other dementia,adult,all,False,15146.95642,1.3065917491912842,19790.88828373195,2.590029905002538,51258.99250143011
America,depression,adult,all,False,13347.27888,1.3065917491912842,17439.444458763086,2.590029905002538,45168.6826748272
America,anxiety,adult,all,False,3223.17072,1.3065917491912842,4211.368268986931,2.590029905002538,10907.569757654925
America,obesity,adult,all,True,622.3078197,1.3065917491912842,813.1022626772373,2.590029905002538,2105.9591761592737
America,obesity,adult,all,False,2789.36264,1.3065917491912842,3644.5582109264183,2.590029905002538,9439.51475682197
Japan,coronary heart disease,adult,all,True,2252.10299,194.80799865722656,438727.6762518559,0.9066450109974937,397770.25886026875
Japan,stroke,adult,all,True,2401.050289,194.80799865722656,467743.8014754454,0.9066450109974937,424077.5840327147
Japan,diabetes (type 2),adult,all,True,2068.273017,194.80799865722656,402916.1271185139,0.9066450109974937,365301.89650243265
Japan,breast cancer,adult,all,True,978.2347643,194.80799865722656,190567.95665020676,0.9066450109974937,172777.48715289662
Japan,endometrial uterine cancer,adult,all,True,5880.820946,194.80799865722656,1145630.9589517578,0.9066450109974937,1038680.5933778856
Japan,colon cancer,adult,all,True,4035.722421,194.80799865722656,786191.0079711071,0.9066450109974937,712796.1550680951
Japan,osteoporosis,adult,all,True,8261.739544,194.80799865722656,1609452.9459939075,0.9066450109974937,1459202.483920595
Japan,alzheimer and other dementia,adult,all,True,6323.486659,194.80799865722656,1231865.7805754622,0.9066450109974937,1116864.964177276
Japan,depression,adult,all,True,3851.242246,194.80799865722656,750252.7942874222,0.9066450109974937,680212.9529276203
Japan,anxiety,adult,all,True,1481.424011,194.80799865722656,288593.2467456712,0.9066450109974937,261651.6273695315
Japan,coronary heart disease,adult,all,False,2736.767361,194.80799865722656,533144.1723868295,0.9066450109974937,483372.50403690676
Japan,stroke,adult,all,False,52088.28766,194.80799865722656,10147215.07252651,0.9066450109974937,9199921.921024732
Japan,diabetes (type 2),adult,all,False,4739.699408,194.80799865722656,923331.3559093216,0.9066450109974937,837133.7673327377
Japan,breast cancer,adult,all,False,2831.286259,194.80799865722656,551557.209741496,0.9066450109974937,500066.59249182564
Japan,endometrial uterine cancer,adult,all,False,15131.93694,194.80799865722656,2947822.351088757,0.9066450109974937,2672628.4279215243
Japan,colon cancer,adult,all,False,11265.68345,194.80799865722656,2194645.2464003395,0.9066450109974937,1989764.163558233
Japan,osteoporosis,adult,all,False,8060.514695,194.80799865722656,1570252.7358801148,0.9066450109974937,1423661.8089908713
Japan,alzheimer and other dementia,adult,all,False,15146.95642,194.80799865722656,2950748.2659284296,0.9066450109974937,2675281.1940135164
Japan,depression,adult,all,False,13347.27888,194.80799865722656,2600156.6861326685,0.9066450109974937,2357419.08729396
Japan,anxiety,adult,all,False,3223.17072,194.80799865722656,627899.437293772,0.9066450109974937,569281.892230532
Japan,obesity,adult,all,True,622.3078197,194.80799865722656,121230.54090449918,0.9066450109974937,109913.06509159178
Japan,obesity,adult,all,False,2789.36264,194.80799865722656,543390.1534276379,0.9066450109974937,492661.97163033055
