geography,factor,age_group,gender,direct,cost_per_case,cost_inflated,forex_rate,inflation_rate,cost_per_case_adjusted,base_year
USA (United States of America),colon cancer,adult,all,FALSE,13349.39934,17422.90485,1.332871318,1.305145228,45125.84459,2016
USA (United States of America),osteoporosis,adult,all,FALSE,10273.42717,13838.98836,1.520473242,1.347066381,35843.3937,2013
USA (United States of America),alzheimer and other dementia,adult,all,FALSE,25916.15481,34250.70309,1.710981011,1.321596639,88710.34527,2014
USA (United States of America),depression,adult,all,FALSE,19819.04044,28491.22935,1.992508173,1.437568556,73793.13604,2008
USA (United States of America),anxiety,adult,all,FALSE,4786.004632,6880.209766,1.992508173,1.437568556,17819.94905,2008
USA (United States of America),obesity,adult,all,TRUE,821.9298916,1025.952729,1.320777059,1.248224136,2657.248249,2018
USA (United States of America),obesity,adult,all,FALSE,3684.126183,4598.615221,1.320777059,1.248224136,11910.55094,2018
Japan,coronary heart disease,adult,all,TRUE,309308.3181,342414.713,137.3419952,1.107033639,310448.5913,2016
Japan,stroke,adult,all,TRUE,318068.0392,348207.551,146.1130066,1.094758065,315700.6389,2017
Japan,diabetes (type 2),adult,all,TRUE,204583.959,236108.586,125.1500015,1.154091392,214066.6716,2012
Japan,breast cancer,adult,all,TRUE,1195287.385,1323223.343,137.3419952,1.107033639,1199693.843,2016
Japan,endometrial uterine cancer,adult,all,TRUE,718054.1663,794910.1169,137.3419952,1.107033639,720701.2917,2016
Japan,colon cancer,adult,all,TRUE,499153.7274,542623.5715,133.7855072,1.087087087,491966.9539,2020
Japan,osteoporosis,adult,all,TRUE,954783.9261,1045257.403,146.2149963,1.094758065,947677.4096,2018
Japan,alzheimer and other dementia,adult,all,TRUE,1095670.56,1214181.866,173.2700043,1.108163265,1100831.931,2014
Japan,depression,adult,all,TRUE,605611.3448,675944.4198,211.0099945,1.116135663,612841.6359,2008
Japan,anxiety,adult,all,TRUE,232955.0339,260009.4212,211.0099945,1.116135663,235736.2446,2008
Japan,coronary heart disease,adult,all,FALSE,399877.3075,437768.9072,146.1130066,1.094758065,396900.9956,2017
Japan,stroke,adult,all,FALSE,6246916.463,6797746.772,137.5700073,1.088176353,6163143.197,2019
Japan,diabetes (type 2),adult,all,FALSE,468828.1752,541070.5614,125.1500015,1.154091392,490558.9251,2012
Japan,breast cancer,adult,all,FALSE,345702.8907,382704.7292,137.3419952,1.107033639,346977.3334,2016
Japan,endometrial uterine cancer,adult,all,FALSE,1847624.78,2045382.784,137.3419952,1.107033639,1854436.096,2016
Japan,colon cancer,adult,all,FALSE,1375551.5,1522781.783,137.3419952,1.107033639,1380622.506,2016
Japan,osteoporosis,adult,all,FALSE,1020908.128,1171993.897,151.0950012,1.147991543,1062582.42,2013
Japan,alzheimer and other dementia,adult,all,FALSE,2624513.204,2908389.122,173.2700043,1.108163265,2636876.487,2014
Japan,depression,adult,all,FALSE,2098869.993,2342623.651,211.0099945,1.116135663,2123928.046,2008
Japan,anxiety,adult,all,FALSE,506846.0068,565708.9038,211.0099945,1.116135663,512897.1553,2008
Japan,obesity,adult,all,TRUE,90990.73558,99612.84157,146.2149963,1.094758065,90313.48584,2018
Japan,obesity,adult,all,FALSE,407846.6482,446493.4072,146.2149963,1.094758065,404811.0201,2018
